Patron,Categoria,Nivel_Alerta,Sugerencia
estoy reprobando,Riesgo académico,Medio,Asignar tutoría académica de revisión académica
no entiendo la materia,Riesgo académico,Medio,Agendar sesión de acompañamiento grupal con un docente auxiliar
voy a perder el semestre,Riesgo académico,Alto,Derivar a consejería de bienestar estudiantil y planificación
voy a perder la materia,Riesgo académico,Alto,Coordinar plan de recuperación académica prioritario con el docente titular
tengo muchas materias perdidas,Riesgo académico,Alto,Convocar junta académica para evaluar un plan de nivelación integral
no voy a pasar el examen,Riesgo académico,Medio,Ofrecer sesión de refuerzo académico antes de la evaluación
perdi el parcial,Riesgo académico,Bajo,Sugerir tutoría de repaso y técnicas de estudio
no logro entender las clases,Riesgo académico,Medio,Agendar sesión de nivelación con el centro de aprendizaje
voy mal en todas las materias,Riesgo académico,Alto,Citar a coordinación académica para un diagnóstico integral y plan de apoyo
no entrego los trabajos a tiempo,Riesgo académico,Medio,Coordinar plan de gestión del tiempo con tutor académico
estoy sacando muy malas notas,Riesgo académico,Medio,Iniciar seguimiento académico personalizado con reportes periódicos
se me acumulan las tareas,Riesgo académico,Bajo,Compartir guía de organización y priorización de tareas académicas
no tengo internet,Brecha digital,Medio,Gestionar préstamo de módem inalámbrico institucional o beca de conectividad
no tengo computadora,Brecha digital,Alto,Facilitar acceso prioritario a los laboratorios de cómputo físicos
no puedo conectarme a clases,Brecha digital,Medio,Revisar la posibilidad de entrega asincrónica con los docentes
se me daño la laptop,Brecha digital,Alto,Facilitar préstamo temporal y prioritario de equipo desde el centro de cómputo
no tengo datos moviles,Brecha digital,Medio,Gestionar bono de conectividad o datos móviles institucionales
mi internet es muy lento,Brecha digital,Bajo,Informar sobre los puntos de conexión wifi disponibles en el campus
se me corta la señal en las clases,Brecha digital,Medio,Ofrecer grabación de clases y materiales de estudio asincrónicos
no tengo con que pagar el internet,Brecha digital,Alto,Evaluar de forma prioritaria la elegibilidad para beca de conectividad
no tengo donde imprimir mis trabajos,Brecha digital,Bajo,Indicar los puntos de impresión gratuitos disponibles en biblioteca
me siento excluido,Convivencia o inclusión,Medio,Invitar a participar en actividades comunitarias de integración estudiantil
nadie me incluye,Convivencia o inclusión,Medio,Realizar seguimiento grupal de convivencia por parte del tutor
tuve problemas con mi grupo,Convivencia o inclusión,Bajo,Proporcionar mediación de equipos de trabajo académicos
me hacen bullying,Convivencia o inclusión,Alto,Activar protocolo institucional contra el acoso y notificar a bienestar estudiantil de forma prioritaria
se burlan de mi en clase,Convivencia o inclusión,Alto,Iniciar proceso de convivencia escolar y brindar apoyo psicológico inmediato
me siento solo en la universidad,Convivencia o inclusión,Medio,Vincular con la red de acompañamiento entre pares
mis compañeros no me hablan,Convivencia o inclusión,Bajo,Fomentar dinámicas de integración grupal en el aula
